#{"t_start": 1583016170.237673, "env_id": "CarlaGymEnv-v95"}
r,l,t
-0.185378,28,445.143936
5.450977,34,446.755777
2.454174,36,448.339731
-1.295954,25,449.439718
2.865185,36,451.147853
5.063194,35,452.711875
2.289356,27,453.915679
-1.97818,24,455.115747
3.474955,35,456.671753
6.012712,36,458.256023
0.646718,26,459.511717
-1.147732,25,460.611785
1.351006,30,461.931801
5.747674,35,463.575999
0.264811,24,464.631715
1.294434,25,465.731805
6.429769,37,467.359754
2.226272,26,468.607739
-0.384685,25,469.707727
-0.422698,27,470.895682
5.024002,33,472.453855
0.711827,29,473.731696
0.193499,25,474.831793
2.03029,27,476.019706
1.190979,29,477.411749
0.649747,26,478.555755
5.888592,36,480.139855
0.965333,26,481.283818
-0.444275,25,482.499768
-0.327066,25,483.619741
-0.970955,27,484.819721
1.275928,25,486.034835
2.063218,27,487.219758
-0.488559,29,488.535739
0.896919,25,489.639725
2.024296,27,490.931751
-1.509894,27,492.119827
-0.135342,24,493.175771
1.220759,26,494.31978
0.138223,25,495.523749
-1.14088,28,496.779837
5.211196,33,498.247782
0.963659,29,499.653443
0.648073,24,500.711723
2.064807,27,501.971709
1.446159,31,503.359804
1.532614,25,504.575687
2.454506,27,505.763817
0.059128,31,507.127737
0.944498,24,508.183732
0.6196,27,509.475752
-2.447012,24,510.54371
2.630962,33,511.995733
1.788082,27,513.335783
1.227067,25,514.431681
0.467817,25,515.531709
0.663111,27,516.719702
-0.078708,29,518.107816
0.597705,24,519.163692
1.701069,27,520.351778
-1.115874,25,521.459763
2.800726,33,523.019743
6.094372,36,524.603685
1.367778,27,525.82784
-0.4203,25,527.051755
-0.852595,29,528.32788
5.271036,34,529.823957
0.22137,26,530.968005
0.866616,25,532.175667
2.086113,27,533.363873
-0.622251,27,534.551696
0.579394,24,535.607687
1.521904,26,536.855707
0.21728,26,537.999798
-0.373303,28,539.231724
5.6851,34,540.859787
2.014846,35,542.411809
0.231221,25,543.512008
-1.581482,28,544.74374
5.691325,34,546.359787
-0.580389,25,547.459732
0.504402,24,548.515734
1.699302,26,549.775987
-0.078775,25,550.875858
-0.877494,26,552.019721
4.464819,32,553.427763
-0.646422,26,554.687728
0.601496,30,556.00776
5.834836,36,557.591666
1.014236,24,558.75572
0.694051,24,559.811684
6.009456,36,561.407809
2.143015,26,562.56772
-0.000729,25,563.783763
0.922149,29,565.059672
5.164479,34,566.559698
-0.835328,29,567.959711
0.651287,25,569.059654
2.427128,27,570.247834
1.180144,29,571.523774
0.793106,25,572.727778
5.598486,36,574.311761
1.718387,27,575.499695
-0.065599,25,576.707796
-1.052604,29,578.019791
5.732059,35,579.579773
1.237978,25,580.679759
-0.102262,25,581.88381
2.203227,27,583.07165
-0.650751,27,584.259866
0.842714,24,585.315715
1.742907,26,586.567767
0.355294,25,587.667758
-1.463179,25,588.767734
5.338415,34,590.367857
-1.824565,25,591.467682
0.631799,30,592.78769
5.878458,35,594.327907
0.804098,25,595.531731
0.891405,24,596.587684
6.011242,36,598.175738
1.045926,24,599.33971
0.110105,25,600.439699
4.703904,36,602.023734
1.779478,27,603.211715
1.379704,28,604.583792
0.567982,24,605.659716
1.882397,26,606.811671
0.436036,25,607.927818
-0.494159,28,609.263746
5.782893,34,610.76775
1.28482,30,612.103758
0.935802,24,613.291854
2.289504,27,614.49573
-1.297571,28,615.743769
1.207878,25,616.84378
1.897878,27,618.183772
-1.973257,24,619.243748
0.45876,26,620.399809
1.728379,27,621.611738
-0.413426,25,622.835789
-0.883059,27,624.023784
4.641005,33,625.475769
1.398254,28,626.815735
0.66532,24,627.875719
5.521149,35,629.415811
-0.526532,25,630.51576
0.918642,25,631.727784
1.798683,28,632.995756
-0.300875,30,634.315802
1.359725,25,635.415779
5.95468,37,637.159786
2.406741,28,638.395725
-1.778276,24,639.463855
0.711436,25,640.691737
0.02077,25,641.791721
1.213667,26,642.935839
0.990147,26,644.079726
0.246875,24,645.255987
0.587063,24,646.311712
5.617372,35,647.859722
-0.050451,24,648.915735
0.943832,25,650.11973
2.372079,28,651.351748
-0.564839,26,652.495801
0.529963,24,653.664043
1.094755,27,654.875679
-0.494834,25,655.987758
-0.967921,27,657.175743
5.337586,34,658.783784
-2.049871,27,659.999775
0.871793,24,661.055806
5.629551,36,662.748523
1.11244,24,663.803787
0.871337,24,664.859677
6.135113,36,666.443892
1.5344,26,667.695789
0.333499,25,668.795642
1.43256,30,670.115714
5.009126,34,671.671747
1.054684,32,673.215737
-0.121123,25,674.343764
0.114276,26,675.487895
1.362949,27,676.779705
0.899869,24,677.835816
1.839095,28,679.095759
0.385043,28,680.355788
1.074288,25,681.599763
1.89967,27,682.80404
-0.910454,25,683.944071
-0.766122,24,685.043914
-0.195089,25,686.287783
0.321657,25,687.39185
0.368614,26,688.53596
1.585123,33,690.011846
0.511899,25,691.219783
-1.638193,26,692.371806
4.718886,32,693.791957
-1.033297,25,695.015897
1.377503,30,696.387908
